glyph_name,ps_name,USV,DesignerOrder,fonts,bcp47tags,OTLang,Feat
odieresis,odieresis,00F6,207,*,,,
divide,divide,00F7,208,*,,,
oslash,oslash,00F8,209,*,,,
ugrave,ugrave,00F9,210,*,,,
uacute,uacute,00FA,211,*,,,
ucircumflex,ucircumflex,00FB,212,*,,,
udieresis,udieresis,00FC,213,*,,,
yacute,yacute,00FD,214,*,,,
thorn,thorn,00FE,215,*,,,
ydieresis,ydieresis,00FF,216,*,,,
idotless,dotlessi,0131,217,*,,,
OE,OE,0152,218,*,,,
oe,oe,0153,219,*,,,
Scaron,Scaron,0160,220,*,,,
scaron,scaron,0161,221,*,,,
Ydieresis,Ydieresis,0178,222,*,,,
Zcaron,Zcaron,017D,223,*,,,
zcaron,zcaron,017E,224,*,,,
florin,florin,0192,225,*,,,
grave,grave,0060,226,*,,,
acute,acute,00B4,227,*,,,
circumflex,circumflex,02C6,228,*,,,
tilde,tilde,02DC,229,*,,,
macron,macron,00AF,230,*,,,
dieresis,dieresis,00A8,231,*,,,
ring,ring,02DA,232,*,,,
caron,caron,02C7,233,*,,,
cedilla,cedilla,00B8,234,*,,,
firsttonechinese,uni02C9,02C9,235,*,,,
hamza-ar,uni0621,0621,236,*,,,
highhamza-ar,uni0674,0674,237,SHLM,,,
alef-ar,uni0627,0627,238,*,,,
alef-ar.fina,uni0627.fina,,239,*,,,
alef-ar.postLamIni.fina,uni0627.postLamIni.fina,,240,*,,,
alef-ar.postLamMed.fina,uni0627.postLamMed.fina,,241,*,,,
alefHamzaabove-ar,uni0623,0623,242,SHLM,,,
alefHamzaabove-ar.fina,uni0623.fina,,243,SHLM,,,
alefHamzaabove-ar.postLamIni.fina,uni0623.postLamIni.fina,,244,SHLM,,,
alefHamzaabove-ar.postLamMed.fina,uni0623.postLamMed.fina,,245,SHLM,,,
alefHamzaabove-ar.warsh,uni0623.warsh,,246,H,,,"cv02=1,2"
alefHamzaabove-ar.warsh.fina,uni0623.warsh.fina,,247,H,,,"cv02=1,2"
alefHamzabelow-ar,uni0625,0625,248,SHLM,,,
alefHamzabelow-ar.fina,uni0625.fina,,249,SHLM,,,
alefHamzabelow-ar.postLamIni.fina,uni0625.postLamIni.fina,,250,SHLM,,,
alefHamzabelow-ar.postLamMed.fina,uni0625.postLamMed.fina,,251,SHLM,,,
alefHamzabelow-ar.warsh,uni0625.warsh,,252,H,,,"cv02=1,2"
alefHamzabelow-ar.warsh.fina,uni0625.warsh.fina,,253,H,,,"cv02=1,2"
alefMadda-ar,uni0622,0622,262,SHLM,,,
alefMadda-ar.fina,uni0622.fina,,263,SHLM,,,
alefMadda-ar.postLamIni.fina,uni0622.postLamIni.fina,,264,SHLM,,,
alefMadda-ar.postLamMed.fina,uni0622.postLamMed.fina,,265,SHLM,,,
alefMadda-ar.small,uni0622.small,,266,SH,,,cv60=1
alefMadda-ar.small.fina,uni0622.small.fina,,267,SH,,,cv60=1
alefMadda-ar.postLamIni.small.fina,uni0622.postLamIni.small.fina,,268,SH,,,cv60=1
alefMadda-ar.postLamMed.small.fina,uni0622.postLamMed.small.fina,,269,SH,,,cv60=1
alefWasla-ar,uni0671,0671,270,SHL,,,
alefWasla-ar.fina,uni0671.fina,,271,SHL,,,
alefWasla-ar.postLamIni.fina,uni0671.postLamIni.fina,,272,SHL,,,
alefWasla-ar.postLamMed.fina,uni0671.postLamMed.fina,,273,SHL,,,
alef_fatha-ar,uni0627_uni064E,0627 064E,286,H,,,
alef_fatha-ar.warsh,uni0627_uni064E.warsh,,287,H,,,cv02=2
alef_kasra-ar,uni0627_uni0650,0627 0650,288,H,,,
alef_kasra-ar.warsh,uni0627_uni0650.warsh,,289,H,,,cv02=2
behDotless-ar,uni066E,066E,290,*,,,
behDotless-ar.fina,uni066E.fina,,291,*,,,
behDotless-ar.medi,uni066E.medi,,292,*,,,
behDotless-ar.init,uni066E.init,,293,*,,,
beh-ar,uni0628,0628,294,SHLM,,,
beh-ar.fina,uni0628.fina,,295,SHLM,,,
beh-ar.medi,uni0628.medi,,296,SHLM,,,
beh-ar.init,uni0628.init,,297,SHLM,,,
peh-ar,uni067E,067E,298,SHLM,,,
peh-ar.fina,uni067E.fina,,299,SHLM,,,
peh-ar.medi,uni067E.medi,,300,SHLM,,,
peh-ar.init,uni067E.init,,301,SHLM,,,
beeh-ar,uni067B,067B,302,SHLM,,,
beeh-ar.fina,uni067B.fina,,303,SHLM,,,
beeh-ar.medi,uni067B.medi,,304,SHLM,,,
beeh-ar.init,uni067B.init,,305,SHLM,,,
teh-ar,uni062A,062A,310,SHLM,,,
teh-ar.fina,uni062A.fina,,311,SHLM,,,
teh-ar.medi,uni062A.medi,,312,SHLM,,,
teh-ar.init,uni062A.init,,313,SHLM,,,
tehRing-ar,uni067C,067C,314,SHL,,,
tehRing-ar.fina,uni067C.fina,,315,SHL,,,
tehRing-ar.medi,uni067C.medi,,316,SHL,,,
tehRing-ar.init,uni067C.init,,317,SHL,,,
tehThreedotsdown-ar,uni067D,067D,318,SHL,,,
tehThreedotsdown-ar.fina,uni067D.fina,,319,SHL,,,
tehThreedotsdown-ar.medi,uni067D.medi,,320,SHL,,,
tehThreedotsdown-ar.init,uni067D.init,,321,SHL,,,
theh-ar,uni062B,062B,322,SHLM,,,
theh-ar.fina,uni062B.fina,,323,SHLM,,,
theh-ar.medi,uni062B.medi,,324,SHLM,,,
theh-ar.init,uni062B.init,,325,SHLM,,,
tteheh-ar,uni067A,067A,330,SHL,,,
tteheh-ar.fina,uni067A.fina,,331,SHL,,,
tteheh-ar.medi,uni067A.medi,,332,SHL,,,
tteheh-ar.init,uni067A.init,,333,SHL,,,
behThreedotshorizontalbelow-ar,uni0750,0750,338,SHL,,,
behThreedotshorizontalbelow-ar.fina,uni0750.fina,,339,SHL,,,
behThreedotshorizontalbelow-ar.medi,uni0750.medi,,340,SHL,,,
behThreedotshorizontalbelow-ar.init,uni0750.init,,341,SHL,,,
behThreedotsupabove-ar,uni0751,0751,342,SHL,,,
behThreedotsupabove-ar.fina,uni0751.fina,,343,SHL,,,
behThreedotsupabove-ar.medi,uni0751.medi,,344,SHL,,,
behThreedotsupabove-ar.init,uni0751.init,,345,SHL,,,
behThreedotsupbelow-ar,uni0752,0752,347,H,,,
behThreedotsupbelow-ar.fina,uni0752.fina,,349,H,,,
behThreedotsupbelow-ar.medi,uni0752.medi,,351,H,,,
behThreedotsupbelow-ar.init,uni0752.init,,353,H,,,
tehThreedotsupbelow-ar,uni0753,0753,355,H,,,
tehThreedotsupbelow-ar.fina,uni0753.fina,,357,H,,,
tehThreedotsupbelow-ar.medi,uni0753.medi,,359,H,,,
tehThreedotsupbelow-ar.init,uni0753.init,,361,H,,,
behTwodotsbelowDotabove-ar,uni0754,0754,362,SHL,,,
behTwodotsbelowDotabove-ar.fina,uni0754.fina,,363,SHL,,,
behTwodotsbelowDotabove-ar.medi,uni0754.medi,,364,SHL,,,
behTwodotsbelowDotabove-ar.init,uni0754.init,,365,SHL,,,
behVinvertedbelow-ar,uni0755,0755,366,SHLM,,,
behVinvertedbelow-ar.fina,uni0755.fina,,367,SHLM,,,
behVinvertedbelow-ar.medi,uni0755.medi,,368,SHLM,,,
behVinvertedbelow-ar.init,uni0755.init,,369,SHLM,,,
behVabove-ar,uni0756,0756,370,SHLM,,,
behVabove-ar.fina,uni0756.fina,,371,SHLM,,,
behVabove-ar.medi,uni0756.medi,,372,SHLM,,,
behVabove-ar.init,uni0756.init,,373,SHLM,,,
behVbelow-ar,uni08A0,08A0,374,SHM,,,
behVbelow-ar.fina,uni08A0.fina,,375,SHM,,,
behVbelow-ar.medi,uni08A0.medi,,376,SHM,,,
behVbelow-ar.init,uni08A0.init,,377,SHM,,,
behhamzaabove-ar,uni08A1,08A1,378,SHM,,,
behhamzaabove-ar.fina,uni08A1.fina,,379,SHM,,,
behhamzaabove-ar.medi,uni08A1.medi,,380,SHM,,,
behhamzaabove-ar.init,uni08A1.init,,381,SHM,,,
tehTehabove-ar,uni08B8,08B8,382,SH,,,
tehTehabove-ar.fina,uni08B8.fina,,383,SH,,,
tehTehabove-ar.medi,uni08B8.medi,,384,SH,,,
tehTehabove-ar.init,uni08B8.init,,385,SH,,,
behMeemabove-ar,uni08B6,08B6,386,SH,,,
behMeemabove-ar.fina,uni08B6.fina,,387,SH,,,
behMeemabove-ar.medi,uni08B6.medi,,388,SH,,,
behMeemabove-ar.init,uni08B6.init,,389,SH,,,
pehMeemabove-ar,uni08B7,08B7,390,SH,,,
pehMeemabove-ar.fina,uni08B7.fina,,391,SH,,,
pehMeemabove-ar.medi,uni08B7.medi,,392,SH,,,
pehMeemabove-ar.init,uni08B7.init,,393,SH,,,
jeem-ar,uni062C,062C,394,SHLM,,,
jeem-ar.fina,uni062C.fina,,395,SHLM,,,
jeem-ar.medi,uni062C.medi,,396,SHLM,,,
jeem-ar.init,uni062C.init,,397,SHLM,,,
jeem-ar.medi.hand,uni062C.medi.hand,,398,H,,,cv08=1
tcheh-ar,uni0686,0686,399,SHL,,,
tcheh-ar.fina,uni0686.fina,,400,SHL,,,
tcheh-ar.medi,uni0686.medi,,401,SHL,,,
tcheh-ar.init,uni0686.init,,402,SHL,,,
tcheh-ar.medi.hand,uni0686.medi.hand,,403,H,,,cv08=1
tcheheh-ar,uni0687,0687,404,SHL,,,
tcheheh-ar.fina,uni0687.fina,,405,SHL,,,
tcheheh-ar.medi,uni0687.medi,,406,SHL,,,
tcheheh-ar.init,uni0687.init,,407,SHL,,,
tcheheh-ar.medi.hand,uni0687.medi.hand,,408,SHL,,,
tchehDotabove-ar,uni06BF,06BF,409,SHL,,,
tchehDotabove-ar.fina,uni06BF.fina,,410,SHL,,,
tchehDotabove-ar.medi,uni06BF.medi,,411,SHL,,,
tchehDotabove-ar.init,uni06BF.init,,412,SHL,,,
tchehDotabove-ar.medi.hand,uni06BF.medi.hand,,413,H,,,cv08=1
nyeh-ar,uni0683,0683,414,SHLM,,,
nyeh-ar.fina,uni0683.fina,,415,SHLM,,,
nyeh-ar.medi,uni0683.medi,,416,SHLM,,,
nyeh-ar.init,uni0683.init,,417,SHLM,,,
nyeh-ar.medi.hand,uni0683.medi.hand,,418,H,,,cv08=1
dyeh-ar,uni0684,0684,419,SHL,,,
dyeh-ar.fina,uni0684.fina,,420,SHL,,,
dyeh-ar.medi,uni0684.medi,,421,SHL,,,
dyeh-ar.init,uni0684.init,,422,SHL,,,
dyeh-ar.medi.hand,uni0684.medi.hand,,423,H,,,cv08=1
hah-ar,uni062D,062D,424,*,,,
hah-ar.fina,uni062D.fina,,425,*,,,
hah-ar.medi,uni062D.medi,,426,*,,,
hah-ar.init,uni062D.init,,427,*,,,
hah-ar.medi.hand,uni062D.medi.hand,,428,H,,,cv08=1
hahHamzaabove-ar,uni0681,0681,429,SHL,,,
hahHamzaabove-ar.fina,uni0681.fina,,430,SHL,,,
hahHamzaabove-ar.medi,uni0681.medi,,431,SHL,,,
hahHamzaabove-ar.init,uni0681.init,,432,SHL,,,
hahHamzaabove-ar.medi.hand,uni0681.medi.hand,,433,SHL,,,
hahTwodotsverticalabove-ar,uni0682,0682,434,SHL,,,
hahTwodotsverticalabove-ar.fina,uni0682.fina,,435,SHL,,,
hahTwodotsverticalabove-ar.medi,uni0682.medi,,436,SHL,,,
hahTwodotsverticalabove-ar.init,uni0682.init,,437,SHL,,,
hahTwodotsverticalabove-ar.medi.hand,uni0682.medi.hand,,438,H,,,cv08=1
hahTwodotshorizontalabove-ar,uni0757,0757,439,SHL,,,
hahTwodotshorizontalabove-ar.fina,uni0757.fina,,440,SHL,,,
hahTwodotshorizontalabove-ar.medi,uni0757.medi,,441,SHL,,,
hahTwodotshorizontalabove-ar.init,uni0757.init,,442,SHL,,,
hahTwodotshorizontalabove-ar.medi.hand,uni0757.medi.hand,,443,H,,,cv08=1
hahThreedotsabove-ar,uni0685,0685,444,SHL,,,
hahThreedotsabove-ar.fina,uni0685.fina,,445,SHL,,,
hahThreedotsabove-ar.medi,uni0685.medi,,446,SHL,,,
hahThreedotsabove-ar.init,uni0685.init,,447,SHL,,,
hahThreedotsabove-ar.medi.hand,uni0685.medi.hand,,448,H,,,cv08=1
hahThreedotsupbelow-ar,uni0758,0758,450,H,,,
hahThreedotsupbelow-ar.fina,uni0758.fina,,452,H,,,
hahThreedotsupbelow-ar.medi,uni0758.medi,,454,H,,,
hahThreedotsupbelow-ar.init,uni0758.init,,456,H,,,
hahThreedotsupbelow-ar.medi.hand,uni0758.medi.hand,,457,H,,,cv08=1
khah-ar,uni062E,062E,458,SHLM,,,
khah-ar.fina,uni062E.fina,,459,SHLM,,,
khah-ar.medi,uni062E.medi,,460,SHLM,,,
khah-ar.init,uni062E.init,,461,SHLM,,,
khah-ar.medi.hand,uni062E.medi.hand,,462,H,,,cv08=1
jeemTwodotsabove-ar,uni08A2,08A2,479,SH,,,
jeemTwodotsabove-ar.fina,uni08A2.fina,,480,SH,,,
jeemTwodotsabove-ar.medi,uni08A2.medi,,481,SH,,,
jeemTwodotsabove-ar.init,uni08A2.init,,482,SH,,,
jeemTwodotsabove-ar.medi.hand,uni08A2.medi.hand,,483,H,,,cv08=1
dal-ar,uni062F,062F,484,*,,,
dal-ar.fina,uni062F.fina,,485,*,,,
dal-ar.loclWLF,uni062F.loclWLF,,486,SH,,,cv12=1
dal-ar.fina.loclWLF,uni062F.fina.loclWLF,,486.1,H,,,
thal-ar,uni0630,0630,487,SHLM,,,
thal-ar.fina,uni0630.fina,,488,SHLM,,,
thal-ar.loclWLF,uni0630.loclWLF,,489,SH,,,cv12=1
thal-ar.fina.loclWLF,uni0630.fina.loclWLF,,489.1,H,,,
dahal-ar,uni068C,068C,493,SHL,,,
dahal-ar.fina,uni068C.fina,,494,SHL,,,
dahal-ar.loclWLF,uni068C.loclWLF,,495,SH,,,cv12=1
dahal-ar.fina.loclWLF,uni068C.fina.loclWLF,,495.1,H,,,
ddahal-ar,uni068D,068D,496,SHL,,,
ddahal-ar.fina,uni068D.fina,,497,SHL,,,
ddahal-ar.loclWLF,uni068D.loclWLF,,498,SH,,,cv12=1
ddahal-ar.fina.loclWLF,uni068D.fina.loclWLF,,498.1,H,,,
dalRing-ar,uni0689,0689,499,SHL,,,
dalRing-ar.fina,uni0689.fina,,500,SHL,,,
dalRing-ar.loclWLF,uni0689.loclWLF,,501,SH,,,cv12=1
dalRing-ar.fina.loclWLF,uni0689.fina.loclWLF,,501.1,H,,,
dalDotbelow-ar,uni068A,068A,502,SHL,,,
dalDotbelow-ar.fina,uni068A.fina,,503,SHL,,,
dalDotbelow-ar.loclWLF,uni068A.loclWLF,,504,SH,,,cv12=1
dalDotbelow-ar.fina.loclWLF,uni068A.fina.loclWLF,,504.1,H,,,
dalDotbelowTah-ar,uni068B,068B,505,SHL,,,
dalDotbelowTah-ar.fina,uni068B.fina,,506,SHL,,,
dalDotbelowTah-ar.loclWLF,uni068B.loclWLF,,507,SH,,,cv12=1
dalDotbelowTah-ar.fina.loclWLF,uni068B.fina.loclWLF,,507.1,H,,,
dul-ar,uni068E,068E,508,SHL,,,
dul-ar.fina,uni068E.fina,,509,SHL,,,
dul-ar.loclWLF,uni068E.loclWLF,,510,SH,,,cv12=1
dul-ar.fina.loclWLF,uni068E.fina.loclWLF,,510.1,H,,,
dalThreedotsdown-ar,uni068F,068F,511,SHL,,,
dalThreedotsdown-ar.fina,uni068F.fina,,512,SHL,,,
dalThreedotsdown-ar.loclWLF,uni068F.loclWLF,,513,SH,,,cv12=1
dalThreedotsdown-ar.fina.loclWLF,uni068F.fina.loclWLF,,513.1,H,,,
dalVinvertedabove-ar,uni06EE,06EE,517,SHL,,,
dalVinvertedabove-ar.fina,uni06EE.fina,,518,SHL,,,
dalVinvertedabove-ar.loclWLF,uni06EE.loclWLF,,519,SH,,,cv12=1
dalVinvertedabove-ar.fina.loclWLF,uni06EE.fina.loclWLF,,519.1,H,,,
dalVinvertedbelow-ar,uni075A,075A,523,SHL,,,
dalVinvertedbelow-ar.fina,uni075A.fina,,524,SHL,,,
dalVinvertedbelow-ar.loclWLF,uni075A.loclWLF,,525,SH,,,cv12=1
dalVinvertedbelow-ar.fina.loclWLF,uni075A.fina.loclWLF,,525.1,SH,,,
dalThreedotsbelow-ar,uni08AE,08AE,526,SH,,,
dalThreedotsbelow-ar.fina,uni08AE.fina,,527,SH,,,
dalThreedotsbelow-ar.loclWLF,uni08AE.loclWLF,,528,SH,,,cv12=1
dalThreedotsbelow-ar.fina.loclWLF,uni08AE.fina.loclWLF,,528.1,H,,,
reh-ar,uni0631,0631,529,*,,,
reh-ar.fina,uni0631.fina,,530,*,,,
zain-ar,uni0632,0632,531,SHLM,,,
zain-ar.fina,uni0632.fina,,532,SHLM,,,
zainVinvertedabove-ar,uni08B2,08B2,533,SHL,,,# cv90=1
zainVinvertedabove-ar.fina,uni08B2.fina,,534,SHL,,,
rehv-ar,uni0692,0692,537,SHL,,,
rehv-ar.fina,uni0692.fina,,538,SHL,,,
rehDotbelow-ar,uni0694,0694,541,SHL,,,
rehDotbelow-ar.fina,uni0694.fina,,542,SHL,,,
rehVbelow-ar,uni0695,0695,543,SHL,,,
rehVbelow-ar.fina,uni0695.fina,,544,SHL,,,
rehDotbelowdotabove-ar,uni0696,0696,545,SHL,,,
rehDotbelowdotabove-ar.fina,uni0696.fina,,546,SHL,,,
rehTwodots-ar,uni0697,0697,547,SHL,,,
rehTwodots-ar.fina,uni0697.fina,,548,SHL,,,
jeh-ar,uni0698,0698,549,SHLM,,,cv90
jeh-ar.fina,uni0698.fina,,550,SHLM,,,
rehFourdots-ar,uni0699,0699,551,SHL,,,
rehFourdots-ar.fina,uni0699.fina,,552,SHL,,,
rehVinvertedabove-ar,uni06EF,06EF,553,SHL,,,
rehVinvertedabove-ar.fina,uni06EF.fina,,554,SHL,,,
rehStroke-ar,uni075B,075B,555,SHL,,,
rehStroke-ar.fina,uni075B.fina,,556,SHL,,,
rehTwodotsverticalabove-ar,uni076B,076B,557,SHL,,,
rehTwodotsverticalabove-ar.fina,uni076B.fina,,558,SHL,,,
rehNoonabove-ar,uni08B9,08B9,563,SH,,,
rehNoonabove-ar.fina,uni08B9.fina,,564,SH,,,
rehHahabove-ar,uni0612,0612,567,SH,,,
rehDadabove-ar,uni0613,0613,568,SH,,,
seen-ar,uni0633,0633,569,*,,,
seen-ar.fina,uni0633.fina,,570,*,,,
seen-ar.medi,uni0633.medi,,571,*,,,
seen-ar.init,uni0633.init,,572,*,,,
seenDotbelowDotabove-ar,uni069A,069A,573,SHL,,,
seenDotbelowDotabove-ar.fina,uni069A.fina,,574,SHL,,,
seenDotbelowDotabove-ar.medi,uni069A.medi,,575,SHL,,,
seenDotbelowDotabove-ar.init,uni069A.init,,576,SHL,,,
seenThreedotsbelow-ar,uni069B,069B,577,SHL,,,
seenThreedotsbelow-ar.fina,uni069B.fina,,578,SHL,,,
seenThreedotsbelow-ar.medi,uni069B.medi,,579,SHL,,,
seenThreedotsbelow-ar.init,uni069B.init,,580,SHL,,,
sheen-ar,uni0634,0634,581,SHLM,,,
sheen-ar.fina,uni0634.fina,,582,SHLM,,,
sheen-ar.medi,uni0634.medi,,583,SHLM,,,
sheen-ar.init,uni0634.init,,584,SHLM,,,
sheenDotbelow-ar,uni06FA,06FA,585,SHL,,,
sheenDotbelow-ar.fina,uni06FA.fina,,586,SHL,,,
sheenDotbelow-ar.medi,uni06FA.medi,,587,SHL,,,
sheenDotbelow-ar.init,uni06FA.init,,588,SHL,,,
sheenThreedotsbelow-ar,uni069C,069C,589,SHL,,,
sheenThreedotsbelow-ar.fina,uni069C.fina,,590,SHL,,,
sheenThreedotsbelow-ar.medi,uni069C.medi,,591,SHL,,,
sheenThreedotsbelow-ar.init,uni069C.init,,592,SHL,,,
seenTwodotshorizontalabove-ar,uni076D,076D,597,SHL,,,
seenTwodotshorizontalabove-ar.fina,uni076D.fina,,598,SHL,,,
seenTwodotshorizontalabove-ar.medi,uni076D.medi,,599,SHL,,,
seenTwodotshorizontalabove-ar.init,uni076D.init,,600,SHL,,,
seenVinvertedabove-ar,uni077E,077E,609,SH,,,
seenVinvertedabove-ar.fina,uni077E.fina,,610,SH,,,
seenVinvertedabove-ar.medi,uni077E.medi,,611,SH,,,
seenVinvertedabove-ar.init,uni077E.init,,612,SH,,,
sad-ar,uni0635,0635,613,*,,,
