Name	Order	USV	Dir	shapeOrder	Fonts	base	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat
x	98	0078		98	*													
y	99	0079		99	*													
z	100	007A		100	*													
braceleft	101	007B		101	*								braceright					
bar	102	007C		102	*													
braceright	103	007D		103	*								braceleft					
asciitilde	104	007E		104	*													
Euro	105	20AC		105	*													
quotesinglbase	106	201A		106	*													
florin	107	0192		107	*													
quotedblbase	108	201E		108	*													
ellipsis	109	2026		109	*													
dagger	110	2020		110	*													
daggerdbl	111	2021		111	*													
circumflex	112	02C6		112	*													
perthousand	113	2030		113	*													
Scaron	114	0160		114	*	S	caron											
guilsinglleft	115	2039		115	*								guilsinglright					
OE	116	0152		116	*													
Zcaron	117	017D		117	*	Z	caron											
caron	118	02C7		118	*													
ring	119	02DA		119	*													
quoteleft	120	2018		120	*													
quoteright	121	2019		121	*													
quotedblleft	122	201C		122	*													
quotedblright	123	201D		123	*													
quoteleft.arab	124			124	L													
quoteright.arab	125			125	L													
quotedblleft.arab	126			126	L													
quotedblright.arab	127			127	L													
bullet	128	2022		128	*													
endash	129	2013		129	*													
emdash	130	2014		130	*													
tilde	131	02DC		131	*													
trademark	132	2122		132	*													
scaron	133	0161		133	*	s	caron											
guilsinglright	134	203A		134	*								guilsinglleft					
oe	135	0153		135	*													
zcaron	136	017E		136	*	z	caron											
Ydieresis	137	0178		137	*	Y	dieresis											
nobreakspace	138	00A0		138	*													
exclamdown	139	00A1		139	*													
cent	140	00A2		140	*													
sterling	141	00A3		141	*													
currency	142	00A4		142	*													
yen	143	00A5		143	*													
brokenbar	144	00A6		144	*													
section	145	00A7		145	*													
dieresis	146	00A8		146	*													
copyright	147	00A9		147	*													
ordfeminine	148	00AA		148	*													
guillemotleft	149	00AB		149	*								guillemotright					
logicalnot	150	00AC		150	*													
sfthyphen	151	00AD		151	*													
registered	152	00AE		152	*													
overscore	153	00AF		153	*													
modMacron	154	02C9		154	*													
degree	155	00B0		155	*													
plusminus	156	00B1		156	*													
twosuperior	157	00B2		157	*													
threesuperior	158	00B3		158	*													
acute	159	00B4		159	*													
micro	160	00B5		160	*													
paragraph	161	00B6		161	*													
periodcentered	162	00B7		162	*													
bulletOperator	163	2219		163	*													
cedilla	164	00B8		164	*													
onesuperior	165	00B9		165	*													
ordmasculine	166	00BA		166	*													
guillemotright	167	00BB		167	*								guillemotleft					
onequarter	168	00BC		168	*													
onehalf	169	00BD		169	*													
threequarters	170	00BE		170	*													
questiondown	171	00BF		171	*													
Agrave	172	00C0		172	*	A	grave											
Aacute	173	00C1		173	*	A	acute											
Acircumflex	174	00C2		174	*	A	circumflex											
Atilde	175	00C3		175	*	A	tilde											
Adieresis	176	00C4		176	*	A	dieresis											
Aring	177	00C5		177	*	A	ring											
AE	178	00C6		178	*													
Ccedilla	179	00C7		179	*	C		cedilla										
Egrave	180	00C8		180	*	E	grave											
Eacute	181	00C9		181	*	E	acute											
Ecircumflex	182	00CA		182	*	E	circumflex											
Edieresis	183	00CB		183	*	E	dieresis											
Igrave	184	00CC		184	*	I	grave											
Iacute	185	00CD		185	*	I	acute											
Icircumflex	186	00CE		186	*	I	circumflex											
Idieresis	187	00CF		187	*	I	dieresis											
Eth	188	00D0		188	*													
Ntilde	189	00D1		189	*	N	tilde											
Ograve	190	00D2		190	*	O	grave											
Oacute	191	00D3		191	*	O	acute											
Ocircumflex	192	00D4		192	*	O	circumflex											
Otilde	193	00D5		193	*	O	tilde											
Odieresis	194	00D6		194	*	O	dieresis											
multiply	195	00D7		195	*													
Oslash	196	00D8		196	*													
Ugrave	197	00D9		197	*	U	grave											
Uacute	198	00DA		198	*	U	acute											
Ucircumflex	199	00DB		199	*	U	circumflex											
Udieresis	200	00DC		200	*	U	dieresis											
Yacute	201	00DD		201	*	Y	acute											
Thorn	202	00DE		202	*													
germandbls	203	00DF		203	*													
agrave	204	00E0		204	*	a	grave											
aacute	205	00E1		205	*	a	acute											
acircumflex	206	00E2		206	*	a	circumflex											
atilde	207	00E3		207	*	a	tilde											
adieresis	208	00E4		208	*	a	dieresis											
aring	209	00E5		209	*	a	ring											
ae	210	00E6		210	*													
ccedilla	211	00E7		211	*	c		cedilla										
egrave	212	00E8		212	*	e	grave											
eacute	213	00E9		213	*	e	acute											
ecircumflex	214	00EA		214	*	e	circumflex											
edieresis	215	00EB		215	*	e	dieresis											
igrave	216	00EC		216	*	dotlessi	grave											
iacute	217	00ED		217	*	dotlessi	acute											
icircumflex	218	00EE		218	*	dotlessi	circumflex											
idieresis	219	00EF		219	*	dotlessi	dieresis											
eth	220	00F0		220	*													
ntilde	221	00F1		221	*	n	tilde											
ograve	222	00F2		222	*	o	grave											
oacute	223	00F3		223	*	o	acute											
ocircumflex	224	00F4		224	*	o	circumflex											
otilde	225	00F5		225	*	o	tilde											
odieresis	226	00F6		226	*	o	dieresis											
divide	227	00F7		227	*													
oslash	228	00F8		228	*													
ugrave	229	00F9		229	*	u	grave											
uacute	230	00FA		230	*	u	acute											
ucircumflex	231	00FB		231	*	u	circumflex											
udieresis	232	00FC		232	*	u	dieresis											
yacute	233	00FD		233	*	y	acute											
thorn	234	00FE		234	*													
ydieresis	235	00FF		235	*	y	dieresis											
dotlessi	236	0131		236	*													
enQuad	237	2000		237	*													
emQuad	238	2001		238	*													
enSpace	239	2002		239	*													
emSpace	240	2003		240	*													
threePerEmSpace	241	2004		241	*													
fourPerEmSpace	242	2005		242	*													
sixPerEmSpace	243	2006		243	*													
figureSpace	244	2007		244	*													
punctuationSpace	245	2008		245	*													
thinSpace	246	2009		246	*													
hairSpace	247	200A		247	*													
zerospace	248	200B		248	*													
zeronojoin	249	200C		249	*													invs
zerojoin	250	200D		250	*													invs
leftToRightMark	251	200E		251	*													invs
rightToLeftMark	252	200F		252	*													invs
hyphen	253	2010		253	*													
noBreakHyphen	254	2011		254	*													
figureDash	255	2012		255	*									JIRA ABS-3				
horizontalBar	256	2015		256	*									JIRA ABS-3				
hyphenationPoint	257	2027		257	*									JIRA ABS-3				
lineSeparator	258	2028		258	*													
paragraphSeparator	259	2029		259	*													
leftToRightEmbedding	260	202A		260	*													invs
rightToLeftEmbedding	261	202B		261	*													invs
popDirectionalFormatting	262	202C		262	*													invs
leftToRightOverride	263	202D		263	*													invs
rightToLeftOverride	264	202E		264	*													invs
narrowNoBreakSpace	265	202F		265	*									JIRA ABS-3				
wordJoiner	266	2060		266	*													
inhibitArabicFormShaping	267	206C		267	*													
activateArabicFormShaping	268	206D		268	*													
leftToRightIsolate	269	2066		269	*									6.3				invs
rightToLeftIsolate	270	2067		270	*									6.3				invs
firstStrongIsolate	271	2068		271	*									6.3				invs
popDirectionalIsolate	272	2069		272	*									6.3				invs
minus	273	2212		273	*													
circledash	274	25CC		274	*													
FontBslnSideBrngMrkrLft	275	F130		275	*													
FontBslnSideBrngMrkrRt	276	F131		276	*													
zeroWidthNoBreakSpace	277	FEFF		277	*													
absAlefMaddaAbove	278	0622	AL	279	SHLM	absAlef	_madda											
absAlefMaddaAbove.small	279		AL	280	SH	absAlef	_madda.small											cv60=1
absAlefHamzaAbove	280	0623	AL	281	SHLM	absAlef	_hamza											
absAlefHamzaAbove.warsh	281		AL	282	H	absAlef	_hamza								in Warsh these touch			"cv02=1,2"
absAlefHamzaBelow	282	0625	AL	283	SHLM	absAlef		_hamza										
absAlefHamzaBelow.warsh	283		AL	284	H	absAlef		_hamza							in Warsh these touch			"cv02=1,2"
absAlef	284	0627	AL	278	*													
absAlefWavyHamzaAbove	285	0672	AL	285	SL	absAlef	_wavyHamza											
absAlefWavyHamzaBelow	286	0673	AL	286	SL	absAlef		_wavyHamza										
absHighHamzaAlef	287	0675	AL	287	SL	absAlef	_highHamza											
absAlefWasla	288	0671	AL	288	SHL	absAlef	_wasla											
absAlefDigitTwoAbove	289	0773	AL	289	S	absAlef						_two		5.1				
absAlefDigitThreeAbove	290	0774	AL	290	S	absAlef						_three		5.1				
absAlefFatha	291		AL	291	H	absAlef	absFatha											
absAlefFatha.warsh	292		AL	292	H	absAlef	absFatha								in Warsh these touch			cv02=2
absAlefKasra	293		AL	293	H	absAlef	absKasra											
absAlefKasra.warsh	294		AL	294	H	absAlef	absKasra								in Warsh these touch			cv02=2
absWawHamzaAbove	295	0624	AL	309	SHLM	absWaw	_hamza											
absWaw	296	0648	AL	308	*													
absHighHamzaWaw	297	0676	AL	310	SL	absWaw	_highHamza											
absUHamzaAbove	298	0677	AL	311	SL	absWaw	_hamzaDamma											
absUHamzaAbove.filled	299		AL	312	SL	absWaw	_hamzaDamma.filled											cv50=1
absWawRing	300	06C4	AL	313	SL	absWaw				_ring								
absKirghizOe	301	06C5	AL	314	SL	absWaw					_bar							
absOe	302	06C6	AL	315	SHLM	absWaw	_smallV											
absU	303	06C7	AL	316	SL	absWaw	_damma											
absU.filled	304		AL	317	SL	absWaw	_damma.filled											cv50=1
absYu	305	06C8	AL	318	SHLM	absWaw	_vline											
absKirghizYu	306	06C9	AL	319	SHLM	absWaw	_hat											
absWawTwoDotsAbove	307	06CA	AL	320	SHL	absWaw	_dot2h											
absVe	308	06CB	AL	321	SHL	absWaw	_dot3u											
absWawDotAbove	309	06CF	AL	322	SHL	absWaw	_dot1											
absWawDigitTwoAbove	310	0778	AL	323	S	absWaw	_two							5.1				
absWawDigitThreeAbove	311	0779	AL	324	S	absWaw	_three							5.1				
# absWawDotBelow	312		AL	1516	-	absWaw		_dot1										
absWawDotWithin	313	08AB	AL	325	S	absWaw			_dot1					6.1				
absDal	314	062F	AL	346	*													
absThal	315	0630	AL	347	SHLM	absDal	_dot1											
absDdal	316	0688	AL	348	SL	absDal	_tah											
absDalRing	317	0689	AL	349	SHL	absDal				_ring								
absDalDotBelow	318	068A	AL	350	SHL	absDal		_dot1										
absDalDotBelowSmallTah	319	068B	AL	351	SHL	absDal	_tah	_dot1										
absDahal	320	068C	AL	352	SHL	absDal	_dot2h											
absDdahal	321	068D	AL	353	SHL	absDal		_dot2h										
absDul	322	068E	AL	354	SHL	absDal	_dot3u											
absDalThreeDotsAboveDownwards	323	068F	AL	355	SHL	absDal	_dot3d											
absDalFourDotsAbove	324	0690	AL	356	SL	absDal	_dot4											
absDalHat	325	06EE	AL	357	SHL	absDal	_hat											
absDalTwoVertBelowSmallTah	326	0759	AL	358	SL	absDal	_tah	_dot2v										
absDalInvSmallVBelow	327	075A	AL	359	SHL	absDal		_invSmallV										
absDalThreeDotsBelow	328	08AE	AL	360	SH	absDal		_dot3d						7.0				
absDal.sen	329		AL	361	S										Senegal variant from Mark			cv12=1
absThal.sen	330		AL	362	S	absDal.sen	_dot1								Senegal variant from Mark			cv12=1
absDdal.sen	331		AL	363	S	absDal.sen	_tah								Senegal variant from Mark			cv12=1
absDalRing.sen	332		AL	364	S	absDal.sen				_ring					Senegal variant from Mark			cv12=1
absDalDotBelow.sen	333		AL	365	S	absDal.sen		_dot1							Senegal variant from Mark			cv12=1
absDalDotBelowSmallTah.sen	334		AL	366	S	absDal.sen	_tah	_dot1							Senegal variant from Mark			cv12=1
absDahal.sen	335		AL	367	S	absDal.sen	_dot2h								Senegal variant from Mark			cv12=1
absDdahal.sen	336		AL	368	S	absDal.sen		_dot2h							Senegal variant from Mark			cv12=1
absDul.sen	337		AL	369	S	absDal.sen	_dot3u								Senegal variant from Mark			cv12=1
absDalThreeDotsAboveDownwards.sen	338		AL	370	S	absDal.sen	_dot3d								Senegal variant from Mark			cv12=1
absDalFourDotsAbove.sen	339		AL	371	S	absDal.sen	_dot4								Senegal variant from Mark			cv12=1
absDalHat.sen	340		AL	372	S	absDal.sen	_hat								Senegal variant from Mark			cv12=1
absDalTwoVertBelowSmallTah.sen	341		AL	373	S	absDal.sen	_tah	_dot2v							Senegal variant from Mark			cv12=1
absDalInvSmallVBelow.sen	342		AL	374	S	absDal.sen		_invSmallV							Senegal variant from Mark			cv12=1
absDalThreeDotsBelow.sen	343		al	375	S	absDal.sen		_dot3d						7.0	Senegal variant from Mark			cv12=1
absReh	344	0631	AL	391	*													
absZain	345	0632	AL	392	SHLM	absReh	_dot1											
absRreh	346	0691	AL	393	SL	absReh	_tah											
absRehSmallNoonAbove	347	08B9	AL	394	S	absReh	_noon							9.0				
absRehSmallV	348	0692	AL	395	SHL	absReh	_smallV											
absRehRing	349	0693	AL	396	SL	absReh				_ring								
absRehDotBelow	350	0694	AL	397	SHL	absReh		_dot1										
absRehSmallVBelow	351	0695	AL	398	SHL	absReh		_smallV										
absRehDotBelowDotAbove	352	0696	AL	399	SL	absReh		_dot1	_dot1									
absRehTwoDotsAbove	353	0697	AL	400	SHL	absReh	_dot2h											
absJeh	354	0698	AL	401	SHLM	absReh	_dot3u											cv90
absRehFourDotsAbove	355	0699	AL	402	SL	absReh	_dot4											
absRehTwoVertAbove	356	076B	AL	403	SHL	absReh	_dot2v											
absRehHamzaAbove	357	076C	AL	404	SL	absReh	_hamza											
absRehSmallTahTwoDots	358	0771	AL	405	SL	absReh	_dot2h_tah							5.1				
# absJehRetro2	359		AL	1517	-	absReh	_dot3u_tah											
absZainHat	360	08B2	AL	406	SHL	absReh	_dot1_hat							7.0	absJeh.dotHat			# cv90=1
absRehHat	361	06EF	AL	407	SHL	absReh	_hat											
absRehBar	362	075B	AL	408	SHL	absReh					_bar							
absRehLoop	363	08AA	AL	427	SL									6.1				
absYehTail	364	06CD	AL	473	SL										moved			
absStraightWaw	365	08B1	AL	344	S									7.0				
absYehBarree	366	06D2	AL	429	SHLM													
absYehBarreeHamzaAbove	367	06D3	AL	430	SLM	absYehBarree	_hamza											
absYehBarreeDigitTwoAbove	368	077A	AL	431	S	absYehBarree	_two							5.1				
absYehBarreeDigitThreeAbove	369	077B	AL	432	S	absYehBarree	_three							5.1				
absYehHamzaAbove	370	0626	AL	438	SHLM	absYeh.noDots	_hamza											
absYeh	371	064A	AL	439	SHLM	absYeh.noDots		_dot2h										
absYeh.noDots	372		AL	437	*													
absHighHamzaYeh	373	0678	AL	440	SL	absYeh.noDots	_highHamza											
absFarsiYeh	374	06CC	AL	441	SHLM	absYeh.noDots												
absFarsiYehDigitTwoAbove	375	0775	AL	442	S	absYeh.noDots	_two							5.1				
absFarsiYehDigitThreeAbove	376	0776	AL	443	S	absYeh.noDots	_three							5.1				
absFarsiYehInvertedV	377	063D	AL	444	SHL	absYeh.noDots	_hat							5.1				
absFarsiYehTwoDotsAbove	378	063E	AL	445	SH	absYeh.noDots	_dot2h							5.1				
absFarsiYehThreeDotsAbove	379	063F	AL	446	SH	absYeh.noDots	_dot3u							5.1				
absYehSmallV	380	06CE	AL	447	SHL	absYeh.noDots	_smallV											
absE	381	06D0	AL	448	SHLM	absYeh.noDots		_dot2v										
absYehThreeDotsBelow	382	06D1	AL	449	SHLM	absYeh.noDots		_dot3d										
absFarsiYehDigitFourBelow	383	0777	AL	450	S	absYeh.noDots		_four						5.1				
absAlefMaksura	384	0649	AL	451	SHLM	absYeh.noDots												
absKashmiriYeh	385	0620	AL	475	S	absYeh.noDots				_ring				6.0				
absYehTwoDotsBelowHamzaAbove	386	08A8	AL	452	SHM	absYeh.noDots	_hamza	_dot2h						6.1				
absYehTwoDotsBelowNoonAbove	387	08BA	AL	453	SH	absYeh.noDots	_noon	_dot2h						9.0				
absYehTwoDotsBelowDotAbove	388	08A9	AL	454	SHM	absYeh.noDots	_dot1	_dot2h						6.1				
absBehNoDots	389	066E	AL	477	*													
absBeh	390	0628	AL	478	SHLM	absBehNoDots		_dot1										
absTeh	391	062A	AL	479	SHLM	absBehNoDots	_dot2h											
absTheh	392	062B	AL	480	SHLM	absBehNoDots	_dot3u											
absTteh	393	0679	AL	481	SL	absBehNoDots	_tah											
absTteheh	394	067A	AL	482	SHL	absBehNoDots	_dot2v											
absBeeh	395	067B	AL	483	SHLM	absBehNoDots		_dot2v										
absTehRing	396	067C	AL	484	SL	absBehNoDots	_dot2h			_ring								
absTehThreeDotsAboveDownwards	397	067D	AL	485	SHL	absBehNoDots	_dot3d											
absPeh	398	067E	AL	486	SHLM	absBehNoDots		_dot3d										
absPehSmallMeemAbove	399	08B7	AL	487	S	absBehNoDots	_meem	_dot3d						9.0				
absTeheh	400	067F	AL	488	SL	absBehNoDots	_dot4											
absBeheh	401	0680	AL	489	SL	absBehNoDots		_dot4										
absBehThreeDotsHorizBelow	402	0750	AL	490	SHL	absBehNoDots		_dot3h										
absBehThreeDotsAboveDotBelow	403	0751	AL	491	SHL	absBehNoDots	_dot3u	_dot1										
absBehThreeDotsUpwardBelow	404	0752	AL	492	H	absBehNoDots		_dot3u										
absBehThreeDotsUpBelow	404.1	0752	AL	492	SL	absBehNoDots		_dot3u										
absBehTwoDotsAboveThreeDotsUpwardBelow	405	0753	AL	493	H	absBehNoDots	_dot2h	_dot3u										
absBehTwoDotsAboveThreeDotsUpBelow	405.1	0753	AL	493	SL	absBehNoDots	_dot2h	_dot3u										
absBehDotAboveTwoDotsBelow	406	0754	AL	494	SHL	absBehNoDots	_dot1	_dot2h										
absBehInvSmallVBelow	407	0755	AL	495	SHLM	absBehNoDots		_invSmallV										
absBehSmallVAbove	408	0756	AL	496	SHLM	absBehNoDots	_smallV											
absBehSmallVBelow	409	08A0	AL	497	SHM	absBehNoDots		_smallV						6.1				
absBehHamzaAbove	410	08A1	AL	498	SHM	absBehNoDots	_hamza	_dot1						7.0				
absBehSmallMeemAbove	411	08B6	AL	499	SH	absBehNoDots	_meem	_dot1						8.0				
absBehNoDotsTehAbove	411.1	08B8	AL	499.1	S	absBehNoDots	_teh							9.0				
absJeem	412	062C	AL	523	SHLM	absHah			_dot1									
absHah	413	062D	AL	524	*													
absKhah	414	062E	AL	525	SHLM	absHah	_dot1											
absHahHamzaAbove	415	0681	AL	526	SL	absHah	_hamza											
absHahTwoDotsVerticalAbove	416	0682	AL	527	SHL	absHah	_dot2v											
absNyeh	417	0683	AL	528	SHLM	absHah			_dot2h									
absDyeh	418	0684	AL	529	SHL	absHah			_dot2v									
absHahThreeDotsAbove	419	0685	AL	530	SHL	absHah	_dot3u											
absTcheh	420	0686	AL	531	SHL	absHah			_dot3d									
absTcheheh	421	0687	AL	532	SL	absHah			_dot4									
absTchehDotAbove	422	06BF	AL	533	SHL	absHah	_dot1		_dot3d									
# absTchehRetro1	423		AL	1518	-	absHah	_tah		_dot3d									
absHahSmallTahTwoDots	424	076F	AL	534	SL	absHah			_dot2h_tah					5.1				
absHahSmallTahBelow	425	076E	AL	535	SL	absHah			_tah					5.1				
# absJeemRetro2	426		AL	1519	-	absHah	_tah		_dot1									
absHahSmallTahAbove	427	0772	AL	536	SL	absHah	_tah							5.1				
absHahTwoDotsAbove	428	0757	AL	537	SHL	absHah	_dot2h											
absHahThreeDotsUpwardBelow	429	0758	AL	538	H	absHah			_dot3u									
absHahThreeDotsUpBelow	429.1	0758	AL	538	SL	absHah			_dot3u									
absHahDigitFourBelow	430	077C	AL	539	S	absHah			_four					5.1				
absJeemTwoDotsAbove	431	08A2	AL	540	SH	absHah	_dot2h		_dot1					6.1				
absSeen	432	0633	AL	607	*													
absSheen	433	0634	AL	608	SHLM	absSeen	_dot3u											
absSeenDotBelowDotAbove	434	069A	AL	609	SHL	absSeen	_dot1	_dot1										
absSeenThreeDotsBelow	435	069B	AL	610	SHL	absSeen		_dot3d										
absSeenThreeDotsBelowThreeDotsAbove	436	069C	AL	611	SHL	absSeen	_dot3u	_dot3d										
absSheenDotBelow	437	06FA	AL	612	SHL	absSeen	_dot3u	_dot1										
# absSheenRetro1	438		AL	1520	-	absSeen	_dot3u_tah											
absSeenSmallTahTwoDots	439	0770	AL	613	SL	absSeen	_dot2h_tah							5.1				
absSeenFourDotsAbove	440	075C	AL	614	SL	absSeen	_dot4											
absSeenTwoVertAbove	441	076D	AL	615	SHL	absSeen	_dot2v											
absSeenDigitFourAbove	442	077D	AL	616	S	absSeen	_four							5.1				
absSeenInvertedV	443	077E	AL	617	SH	absSeen	_hat							5.1				
absSad	444	0635	AL	651	*													
absSad.half	445		AL	657	H													cv20=1
absDad	446	0636	AL	652	SHLM	absSad	_dot1											
absDad.half	447		AL	658	H	absSad.half	_dot1											cv20=1
absSadTwoDotsBelow	448	069D	AL	653	SHL	absSad		_dot2h										
absSadTwoDotsBelow.half	449		AL	659	H	absSad.half		_dot2h										cv20=1
absSadThreeDotsAbove	450	069E	AL	654	SHL	absSad	_dot3u											
absSadThreeDotsAbove.half	451		AL	660	H	absSad.half	_dot3u											cv20=1
absDadDotBelow	452	06FB	AL	655	SHL	absSad	_dot1	_dot1										
absDadDotBelow.half	453		AL	661	H	absSad.half	_dot1	_dot1										cv20=1
absSadThreeDotsBelow	454	08AF	AL	656	SH	absSad		_dot3d						7.0				
absSadThreeDotsBelow.half	455		AL	662	H	absSad.half		_dot3d										cv20=1
absTah	456	0637	AL	687	*													
absZah	457	0638	AL	688	SHLM	absTah	_dot1											
absTahThreeDotsAbove	458	069F	AL	689	SHLM	absTah	_dot3u											
absTahTwoDotsAbove	459	08A3	AL	690	SH	absTah	_dot2h							6.1				
absAin	460	0639	AL	703	*													
absGhain	461	063A	AL	704	SHLM	absAin	_dot1											
absAinThreeDotsAbove	462	06A0	AL	705	SHLM	absAin	_dot3u											
absAinThreeDotsBelow	463	08B3	AL	706	S	absAin		_dot3d						7.0				
absGhainDotBelow	464	06FC	AL	707	SHL	absAin	_dot1	_dot1										
absAinTwoDotsAbove	465	075D	AL	708	SHLM	absAin	_dot2h											
absAinThreeDotsDownAbove	466	075E	AL	709	SHL	absAin	_dot3d											
absAinTwoDotsVertAbove	467	075F	AL	710	SHL	absAin	_dot2v											
absFeh	468	0641	AL	737	SHLM	absDotlessFeh	_dot1											
absDotlessFeh	469	06A1	AL	735	*													
absAfricanFeh	470	08BB	AL	736	SHM	absDotlessFeh								9.0				
absFehDotMovedBelow	471	06A2	AL	738	SHLM	absDotlessFeh		_dot1										
absFehDotBelow	472	06A3	AL	739	SHL	absDotlessFeh	_dot1	_dot1										
absVeh	473	06A4	AL	740	SHLM	absDotlessFeh	_dot3u											
absFehThreeDotsBelow	474	06A5	AL	741	SHL	absDotlessFeh		_dot3d										
absPeheh	475	06A6	AL	742	SL	absDotlessFeh	_dot4											
absFehTwoDotsBelow	476	0760	AL	743	SHLM	absDotlessFeh		_dot2h										
absFehThreeDotsUpwardBelow	477	0761	AL	744	H	absDotlessFeh		_dot3u										
absFehThreeDotsUpBelow	477.1	0761	AL	744	SL	absDotlessFeh		_dot3u										
absFehDotBelowThreeDotsAbove	478	08A4	AL	745	SH	absDotlessFeh	_dot3u	_dot1						6.1				
absRohingyaYeh	479	08AC	AL	1002	S									6.1	absFehNoTailTwoDotsBelow			
absQafNoDots	480	066F	AL	794	*													
absAfricanQaf	481	08BC	AL	795	SHM	absQafNoDots								9.0				
absQaf	482	0642	AL	796	SHLM	absQafNoDots	_dot2h											
absQafDotAbove	483	06A7	AL	797	SHLM	absQafNoDots	_dot1											
absQafThreeDotsAbove	484	06A8	AL	798	SHLM	absQafNoDots	_dot3u											
absQafDotBelow	485	08A5	AL	799	SH	absQafNoDots	_dot2h	_dot1						6.1				
absKaf	486	0643	AL	806	*													
absKafDotAbove	487	06AC	AL	807	SHL	absKaf	_dot1											
absKafDotBelow	488	08B4	AL	808	S	absKaf		_dot1						8.0				
absNg	489	06AD	AL	809	SHLM	absKaf	_dot3u											
absKafTwoDotsAbove	490	077F	AL	810	SH	absKaf	_dot2h							5.1				
absKafThreeDotsBelow	491	06AE	AL	811	SHL	absKaf		_dot3d										
absKeheh	492	06A9	AL	818	*													
absKafRing	493	06AB	AL	819	SL	absKeheh				_ring								
absGaf	494	06AF	AL	820	SHLM	absKeheh	_gafBarShort											
absGafRing	495	06B0	AL	821	SL	absKeheh	_gafBarShort			_ring								
absNgoeh	496	06B1	AL	822	SL	absKeheh	_gafBarShort_dot2h											
absGafTwoDotsBelow	497	06B2	AL	823	SL	absKeheh	_gafBarShort	_dot2h										
absGueh	498	06B3	AL	824	SL	absKeheh	_gafBarShort	_dot2v										
absGafThreeDotsAbove	499	06B4	AL	825	SL	absKeheh	_gafBarShort_dot3u											
absKehehDotAbove	500	0762	AL	826	SHL	absKeheh	_dot1											
absKehehThreeDotsAbove	501	0763	AL	827	SHLM	absKeheh	_dot3u											
absKehehThreeDotsUpwardBelow	502	0764	AL	828	H	absKeheh		_dot3u										
absKehehThreeDotsUpBelow	502.1	0764	AL	828	SL	absKeheh		_dot3u										
absKehehTwoDotsAbove	503	063B	AL	829	SH	absKeheh	_dot2h							5.1				
absKehehThreeDotsBelow	504	063C	AL	830	SH	absKeheh		_dot3d						5.1				
absGafInvertedStroke	505	08B0	AL	831	S	absKeheh			_gafBarCenter					7.0				
absSwashKaf	506	06AA	AL	886	*													
absLam	507	0644	AL	890	*													
absLamSmallV	508	06B5	AL	891	SHL	absLam	_smallV											
absLamDotAbove	509	06B6	AL	892	SHL	absLam	_dot1											
absLamThreeDotsAbove	510	06B7	AL	893	SHL	absLam	_dot3u											
